City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lokosovo,61.13,74.82,29.32,99,100,5.46,RU,1603330563
Paita,-5.09,-81.11,64.72,84,0,12.3,PE,1603330563
Cravo Norte,6.3,-70.2,77.67,88,53,4.68,CO,1603330564
Motygino,58.18,94.76,34.36,90,98,3.27,RU,1603330564
West Wendover,40.74,-114.07,64.4,31,1,9.42,US,1603330417
Adrar,20.5,-10.07,83.25,19,3,4.85,MR,1603330565
Melfi,41.0,15.65,48.2,93,90,6.93,IT,1603330565
Kibaya,-5.3,36.57,56.91,99,97,3.4,TZ,1603330566
Iqaluit,63.75,-68.51,32.0,93,90,8.05,CA,1603330566
Lavrentiya,65.58,-171.0,36.97,89,0,4.27,RU,1603330567
Morondava,-20.28,44.28,72.32,87,0,11.34,MG,1603330567
Vaini,-21.2,-175.2,75.2,78,75,9.17,TO,1603330568
George Town,5.41,100.34,80.6,74,40,2.24,MY,1603330568
Sanchazi,42.08,126.6,41.68,63,0,4.99,CN,1603330568
Sarāi Mīr,26.02,82.92,75.2,88,40,3.36,IN,1603330569
Yichun,47.7,128.9,33.66,85,99,9.66,CN,1603330569
Plainview,40.78,-73.47,66.0,100,90,5.82,US,1603330570
Comodoro Rivadavia,-45.87,-67.5,50.0,81,0,20.09,AR,1603330570
Nardaran,40.56,50.01,53.6,81,24,4.7,AZ,1603330570
Nagua,19.38,-69.85,78.8,88,20,5.12,DO,1603330571
Ibrā’,22.69,58.53,62.65,28,6,3.83,OM,1603330571
Ganzhou,28.82,115.43,69.49,54,0,5.93,CN,1603330572
Talnakh,69.49,88.4,10.4,85,40,13.42,RU,1603330572
Coahuayana Viejo,18.73,-103.68,81.12,83,83,1.32,MX,1603330378
Sinnamary,5.38,-52.95,79.75,83,0,9.75,GF,1603330460
Porto-Novo,6.5,2.6,77.45,90,2,3.62,BJ,1603330573
Havøysund,71.0,24.66,26.6,79,6,10.29,NO,1603330574
Bjørnevatn,69.67,29.98,21.2,100,90,5.82,NO,1603330574
Narsaq,60.92,-46.05,30.2,80,91,2.24,GL,1603330574
Charlestown,-32.95,151.67,73.99,69,0,7.61,AU,1603330575
Trat,12.5,102.5,77.02,77,100,7.56,TH,1603330575
Manado,1.49,124.85,87.8,48,20,3.36,ID,1603330576
Province of Trapani,37.83,12.67,69.01,88,9,9.17,IT,1603330576
São João da Barra,-21.64,-41.05,73.45,87,26,10.2,BR,1603330577
Saint-Philippe,-21.36,55.77,69.01,68,68,8.05,RE,1603330577
Haines Junction,60.75,-137.51,22.93,79,10,1.99,CA,1603330578
Kathmandu,27.72,85.32,60.8,100,20,2.06,NP,1603330441
Norman Wells,65.28,-126.83,23.0,85,75,14.99,CA,1603330578
Brainerd,46.36,-94.2,30.99,80,90,3.36,US,1603330333
Yumen,40.28,97.2,45.88,44,0,8.46,CN,1603330579
Straumen,63.87,11.3,39.0,100,90,2.24,NO,1603330580
Camacha,33.08,-16.33,64.4,63,20,13.87,PT,1603330580
Teya,60.38,92.63,36.81,89,100,4.72,RU,1603330408
Vitim,59.45,112.56,28.92,96,98,7.87,RU,1603330581
Antsohihy,-14.88,47.99,74.14,60,94,7.92,MG,1603330582
Kavieng,-2.57,150.8,84.49,68,15,8.25,PG,1603330388
La Esperanza,14.87,-91.57,68.0,51,100,1.48,GT,1603330583
Clyde River,70.47,-68.59,15.8,78,1,5.82,CA,1603330392
Nador,35.17,-2.93,68.0,88,97,5.82,MA,1603330583
Keflavik,64.0,-22.56,41.0,86,90,24.16,IS,1603330584
Faya,18.39,42.45,59.0,19,76,3.36,SA,1603330584
Chokurdakh,70.63,147.92,12.61,95,100,4.34,RU,1603330585
Le Marin,14.47,-60.87,77.0,88,0,2.24,MQ,1603330585
Tasiilaq,65.61,-37.64,30.2,80,100,4.7,GL,1603330586
Udachny,66.42,112.4,-2.2,84,75,2.24,RU,1603330586
Monrovia,6.3,-10.8,78.26,84,100,4.85,LR,1603330586
Burnie,-41.07,145.92,62.01,63,53,8.01,AU,1603330587
Kaitangata,-46.28,169.85,57.22,56,99,8.1,NZ,1603330587
Yamada,39.47,141.95,63.23,67,100,11.68,JP,1603330588
Mackay,-21.15,149.2,84.2,51,40,16.11,AU,1603330588
Lagoa,39.05,-27.98,62.38,68,78,17.54,PT,1603330589
Bluff,-46.6,168.33,56.17,59,92,7.7,NZ,1603330370
St. George's,12.06,-61.75,84.2,83,20,13.87,GD,1603330589
Naryan-Mar,67.67,53.09,24.03,95,7,7.52,RU,1603330590
Port Hedland,-20.32,118.57,86.0,45,34,8.05,AU,1603330591
Hithadhoo,-0.6,73.08,82.6,74,12,12.88,MV,1603330338
Beringovskiy,63.05,179.32,40.82,79,79,7.09,RU,1603330591
Codrington,-38.27,141.97,61.21,68,65,6.76,AU,1603330435
Ilulissat,69.22,-51.1,28.4,74,100,4.7,GL,1603330344
Coquimbo,-29.95,-71.34,53.6,87,0,6.93,CL,1603330593
Grand Baie,-20.02,57.58,71.01,84,45,4.0,MU,1603330593
Kaabong,3.48,34.15,67.37,66,40,9.62,UG,1603330593
Lázaro Cárdenas,17.96,-102.2,80.78,87,56,5.3,MX,1603330594
Luanda,-8.84,13.23,77.0,78,75,5.82,AO,1603330594
Río Gallegos,-51.62,-69.22,48.2,70,100,2.24,AR,1603330595
Namatanai,-3.67,152.43,85.3,66,2,7.72,PG,1603330595
Severo-Kuril'sk,50.68,156.12,43.5,68,95,14.0,RU,1603330596
Hutang,31.53,119.48,55.0,99,69,7.9,CN,1603330596
Namioka,40.71,140.59,59.0,87,75,6.93,JP,1603330597
Mnogovershinnyy,53.94,139.92,44.17,79,100,3.15,RU,1603330597
San Rafael del Sur,11.85,-86.44,78.8,88,40,4.7,NI,1603330597
Paamiut,61.99,-49.67,32.77,85,0,23.49,GL,1603330586
Ribeira Grande,38.52,-28.7,63.18,71,97,16.62,PT,1603330598
Labuhan,-6.88,112.21,86.07,63,100,3.76,ID,1603330599
Mount Gambier,-37.83,140.77,62.6,63,40,9.17,AU,1603330599
Pesca,5.55,-73.05,48.54,86,58,3.33,CO,1603330600
Mount Isa,-20.73,139.5,100.4,21,40,9.17,AU,1603330600
Le Port,-20.94,55.29,73.4,69,81,17.22,RE,1603330601
Hobart,-42.88,147.33,64.99,58,75,9.17,AU,1603330362
Dublin,37.7,-121.94,86.0,16,1,3.36,US,1603330432
Salalah,17.02,54.09,77.0,78,40,3.36,OM,1603330602
Beisfjord,68.38,17.6,33.8,64,100,17.22,NO,1603330602
Ust-Tsilma,65.44,52.15,21.07,97,14,4.88,RU,1603330603
Marawi,8.0,124.29,86.0,65,100,1.99,PH,1603330603
Samaná,19.21,-69.34,78.8,88,20,4.25,DO,1603330604
Koronowo,53.31,17.94,54.0,76,0,10.29,PL,1603330604
Ekimchan,53.07,132.97,37.45,87,100,1.9,RU,1603330604
Carnarvon,-24.87,113.63,71.6,56,40,19.46,AU,1603330605
Arrondissement de Saint-Denis,48.92,2.33,60.8,77,97,8.05,FR,1603330605
Tabas,33.6,56.92,53.06,36,0,1.34,IR,1603330606
City of San Pedro,14.35,121.02,87.01,74,40,8.05,PH,1603330606
Aketi,2.74,23.78,71.35,98,100,1.32,CD,1603330606
Moses Lake,47.13,-119.28,48.2,42,1,10.29,US,1603330536
Mocuba,-16.84,36.99,69.04,97,4,3.42,MZ,1603330607
Hamilton,39.18,-84.53,64.0,93,90,2.89,US,1603330608
San Juan del Sur,11.25,-85.87,77.63,87,96,11.45,NI,1603330608
Katobu,-4.94,122.53,91.83,42,83,2.28,ID,1603330609
Banjar,-8.19,114.97,86.0,79,40,11.41,ID,1603330609
Provideniya,64.38,-173.3,41.0,86,90,4.47,RU,1603330356
Andradas,-22.07,-46.57,63.5,85,44,5.48,BR,1603330610
Bose,45.46,8.01,53.01,83,96,1.01,IT,1603330610
Manzhouli,49.6,117.43,29.88,85,0,12.97,CN,1603330611
Lockhart,28.62,-81.44,78.8,78,1,4.7,US,1603330611
Anadyr,64.75,177.48,39.2,80,67,8.95,RU,1603330324
Bandarbeyla,9.49,50.81,78.67,67,87,2.04,SO,1603330612
Buchach,49.06,25.39,46.99,78,72,4.12,UA,1603330612
Pasni,25.26,63.47,75.56,26,0,18.5,PK,1603330613
Tuktoyaktuk,69.45,-133.04,17.6,78,40,11.41,CA,1603330613
Okha,53.57,142.95,49.96,83,100,14.94,RU,1603330614
Puerto Escondido,15.85,-97.07,81.0,77,70,2.19,MX,1603330406
Ancud,-41.87,-73.82,46.0,87,14,4.7,CL,1603330615
Lebu,-37.62,-73.65,47.3,82,0,15.12,CL,1603330351
Port Lincoln,-34.73,135.87,60.39,81,100,11.97,AU,1603330616
Leningradskiy,69.38,178.42,35.15,84,100,4.05,RU,1603330616
Kajaani,64.23,27.73,32.0,95,90,14.99,FI,1603330616
Murray Bridge,-35.12,139.27,71.01,76,76,1.99,AU,1603330617
Rocha,-34.48,-54.33,55.11,77,98,10.18,UY,1603330617
Tagusao,9.19,117.81,86.16,67,41,11.52,PH,1603330618
Cobija,-11.03,-68.77,72.93,88,99,0.67,BO,1603330618
Port-Gentil,-0.72,8.78,78.13,86,91,11.34,GA,1603330619
Te Anau,-45.42,167.72,54.21,67,100,5.3,NZ,1603330619
Kumul,42.8,93.45,58.66,30,0,7.85,CN,1603330619
Pahrump,36.21,-115.98,73.99,12,0,5.41,US,1603330620
Fort Frances,48.6,-93.4,32.0,86,90,8.05,CA,1603330620
Mthatha,-31.59,28.78,53.6,93,0,4.7,ZA,1603330621
Markova,48.68,24.41,45.09,66,42,7.18,UA,1603330621
Saint-Leu,-21.15,55.28,69.01,68,74,8.05,RE,1603330622
Jalu,29.03,21.55,61.0,62,0,7.96,LY,1603330622
Alice Springs,-23.7,133.88,95.0,23,20,18.34,AU,1603330623
Zaraza,9.35,-65.32,75.56,92,3,3.51,VE,1603330623
Dingle,11.0,122.67,85.69,75,51,13.11,PH,1603330416
Bodden Town,19.28,-81.25,82.4,83,40,11.41,KY,1603330624
Griffith,41.53,-87.42,51.01,93,75,7.38,US,1603330431
Coyhaique,-45.58,-72.07,50.0,46,0,4.7,CL,1603330352
São Félix do Xingu,-6.64,-51.99,74.25,88,28,0.22,BR,1603330625
Santa Rosa,14.31,121.11,87.01,74,40,8.05,PH,1603330626
Goderich,43.75,-81.72,54.0,81,26,10.49,CA,1603330626
Vila Velha,-20.33,-40.29,75.2,94,90,2.24,BR,1603330626
Rabo de Peixe,37.8,-25.58,60.8,77,75,10.29,PT,1603330627
Soyo,-6.13,12.37,77.09,83,100,8.3,AO,1603330627
Cayenne,4.93,-52.33,77.0,100,0,9.35,GF,1603330570
Saldanha,-33.01,17.94,51.8,81,0,5.82,ZA,1603330628
Santa Inês,-3.67,-45.38,78.3,75,0,7.34,BR,1603330629
Hasaki,35.73,140.83,70.0,77,75,6.93,JP,1603330629
Slave Lake,55.28,-114.77,17.6,78,90,12.75,CA,1603330629
Christchurch,-43.53,172.63,61.0,63,46,13.87,NZ,1603330630
Kibakwe,-6.72,36.37,61.61,88,90,3.56,TZ,1603330630
Lüderitz,-26.65,15.16,57.97,87,54,21.7,NA,1603330631
San Andrés,12.58,-81.7,80.6,88,40,2.24,CO,1603330386
Pangnirtung,66.15,-65.71,28.4,86,90,5.82,CA,1603330632
San Quintín,30.48,-115.95,66.07,83,14,7.96,MX,1603330632
Union,40.63,-74.27,64.99,93,90,3.76,US,1603330632
Dudinka,69.41,86.18,10.4,85,40,13.42,RU,1603330633
Florida,28.75,-82.5,73.4,94,1,10.09,US,1603330633
Madikeri,12.42,75.73,71.6,100,90,4.7,IN,1603330634
Esperance,-33.87,121.9,60.8,93,75,13.87,AU,1603330634
Takoradze,4.88,-1.76,76.66,92,58,7.31,GH,1603330635
Lokomotivnyy,53.01,60.57,29.08,88,90,13.76,RU,1603330635
Khāsh,28.22,61.22,46.76,38,0,6.8,IR,1603330635
Mogok,22.92,96.5,67.89,91,100,1.36,MM,1603330636
Mikkeli,61.69,27.27,41.0,93,90,11.41,FI,1603330636
Jiuquan,39.74,98.52,49.84,39,0,3.74,CN,1603330637
Betafo,-19.83,46.85,56.26,76,6,6.13,MG,1603330637
Aitape,-3.14,142.35,80.53,79,98,5.06,PG,1603330638
Alofi,-19.06,-169.92,78.8,83,75,20.8,NU,1603330638
Yulara,-25.24,130.99,96.8,11,0,25.28,AU,1603330639
Kvarkeno,52.08,59.73,28.98,89,44,15.1,RU,1603330639
Salinópolis,-0.61,-47.36,80.24,78,67,12.59,BR,1603330639
Chunhuhub,19.55,-88.68,74.88,96,76,0.81,MX,1603330640
Dunedin,-45.87,170.5,54.0,79,99,14.0,NZ,1603330640
Nioro,13.35,-15.75,75.4,96,14,4.34,GM,1603330641
Upernavik,72.79,-56.15,23.61,95,66,3.58,GL,1603330641
Airai,-8.93,125.41,80.92,41,0,1.12,TL,1603330369
Balkanabat,39.51,54.37,50.14,56,0,2.35,TM,1603330642
Syumsi,57.11,51.61,30.16,97,100,9.24,RU,1603330642
Loukhi,66.08,33.04,28.92,97,100,7.02,RU,1603330643
Baruun-Urt,46.68,113.28,28.62,79,0,11.14,MN,1603330643
Miraflores,19.22,-98.81,71.6,33,75,12.75,MX,1603330644
Gunjur,13.2,-16.73,78.8,100,83,2.24,GM,1603330644
Wajima,37.4,136.9,68.0,49,75,5.82,JP,1603330644
Buala,-8.14,159.59,81.39,76,100,9.22,SB,1603330645
Acarí,-15.43,-74.62,64.47,59,12,3.89,PE,1603330645
Banfora,10.63,-4.77,78.44,57,32,2.51,BF,1603330623
Mandera,3.94,41.87,78.62,69,100,13.69,KE,1603330646
Tshikapa,-6.42,20.8,69.6,93,69,1.07,CD,1603330647
Juneau,58.3,-134.42,36.0,34,40,10.29,US,1603330386
Sydney,-33.87,151.21,75.0,73,75,10.29,AU,1603330490
Edd,13.93,41.69,81.88,69,53,4.07,ER,1603330648
Cockburn Town,21.46,-71.14,81.81,77,100,16.64,TC,1603330648
Shimokizukuri,40.81,140.39,59.0,87,75,6.93,JP,1603330649
Vung Tau,10.35,107.08,80.82,80,79,5.57,VN,1603330649
Mahon,39.89,4.27,68.0,82,89,9.17,ES,1603330649
Biltine,14.53,20.92,79.97,16,73,10.38,TD,1603330650
Ishigaki,24.34,124.16,80.6,100,75,10.29,JP,1603330650
Morant Bay,17.88,-76.41,77.0,94,75,9.17,JM,1603330651
Raduzhny,62.1,77.47,28.13,96,100,4.74,RU,1603330651
San Patricio,28.02,-97.52,80.6,78,40,11.41,US,1603330652
Hulan Ergi,47.2,123.63,37.58,61,0,14.18,CN,1603330652
Thayetmyo,19.32,95.18,77.83,86,45,4.45,MM,1603330511
Acapulco de Juárez,16.86,-99.89,84.2,79,75,3.36,MX,1603330653
Port Shepstone,-30.74,30.45,64.06,84,77,15.08,ZA,1603330653
Tautira,-17.73,-149.15,80.6,69,75,9.17,PF,1603330654
La Libertad,-2.23,-80.9,71.6,83,75,6.93,EC,1603330654
Raymond,43.9,-70.47,54.0,98,100,6.11,US,1603330655
Road Town,18.42,-64.62,82.99,84,0,1.99,VG,1603330458
Yar-Sale,66.83,70.83,19.33,97,91,12.86,RU,1603330655
Iwanai,42.97,140.51,63.39,61,29,10.2,JP,1603330656
Eséka,3.65,10.77,72.25,95,94,1.01,CM,1603330656
Chiredzi,-21.05,31.67,68.36,76,100,9.93,ZW,1603330657
Tigil',57.8,158.67,39.15,74,96,6.22,RU,1603330657
Avera,33.19,-82.53,71.6,83,1,3.36,US,1603330657
Muzhi,65.37,64.67,18.84,97,100,6.64,RU,1603330534
Yangi Marg`ilon,40.43,71.72,50.0,43,34,6.93,UZ,1603330658
Chapais,49.78,-74.85,32.0,98,90,6.93,CA,1603330659
Biak,-0.91,122.88,83.48,64,81,3.11,ID,1603330659
Darhan,49.49,105.92,35.06,75,0,8.72,MN,1603330659
Daru,-9.08,143.21,83.35,69,42,9.08,PG,1603330660
Onokhoy,51.93,108.07,33.8,74,42,4.47,RU,1603330660
Leh,34.17,77.58,36.73,60,8,3.27,IN,1603330661
Banda Aceh,5.56,95.32,85.26,62,100,8.41,ID,1603330661
Alyangula,-13.85,136.42,89.6,59,100,9.17,AU,1603330662
Sørland,67.67,12.69,37.72,76,89,11.9,NO,1603330662
Fort Nelson,58.81,-122.7,23.0,57,75,4.7,CA,1603330662
Boyolangu,-8.12,111.89,83.25,69,96,4.56,ID,1603330663
Datong,40.09,113.29,38.95,58,0,12.08,CN,1603330663
Vila Franca do Campo,37.72,-25.43,60.8,77,75,10.29,PT,1603330664
Akureyri,65.68,-18.09,28.4,86,81,2.24,IS,1603330664
Ulladulla,-35.35,150.47,71.01,72,75,8.05,AU,1603330383
Ust'-Barguzin,53.45,108.98,38.79,78,62,8.3,RU,1603330665
Pampierstad,-27.78,24.69,69.31,41,0,19.19,ZA,1603330665
Zyryanovsk,49.74,84.27,39.18,68,0,1.79,KZ,1603330666
Cooma,-36.23,149.13,66.2,52,40,5.82,AU,1603330666
Sfântu Gheorghe,45.87,25.78,40.78,66,100,0.56,RO,1603330667
Carballo,43.21,-8.69,55.99,87,53,9.17,ES,1603330667
Shimoda,34.67,138.95,66.2,72,75,13.87,JP,1603330667
Novonukutskiy,53.7,102.71,34.48,83,91,6.31,RU,1603330668
Reguengos de Monsaraz,38.43,-7.53,57.2,100,20,8.05,PT,1603330668
Ocean City,39.28,-74.57,66.99,88,1,4.7,US,1603330669
Qinhuangdao,39.93,119.59,52.25,36,0,4.99,CN,1603330669
Muskegon,43.3,-86.13,50.0,71,75,5.82,US,1603330670
Kargasok,59.06,80.86,35.98,92,100,5.79,RU,1603330670
Auki,-8.77,160.7,83.91,73,71,4.14,SB,1603330671
Kayseri Province,38.74,35.5,46.4,81,0,1.95,TR,1603330671
Quanzhou,24.91,118.59,77.0,65,75,13.42,CN,1603330672
Nago,26.59,127.98,75.2,94,90,4.7,JP,1603330672
Medicine Hat,50.05,-110.67,26.6,73,90,11.41,CA,1603330672
Cherskiy,68.75,161.3,22.73,94,0,8.77,RU,1603330673
Santa Maria,-29.68,-53.81,67.23,79,70,14.72,BR,1603330467
North Bend,43.41,-124.22,55.99,71,1,17.22,US,1603330674
El Alto,-4.27,-81.21,63.52,89,2,15.05,PE,1603330674
Geraldton,-28.77,114.6,68.0,60,0,5.82,AU,1603330505
Souillac,-20.52,57.52,73.4,78,40,10.29,MU,1603330675
La Ronge,55.1,-105.28,24.8,62,90,4.7,CA,1603330675
Mossamedes,-15.2,12.15,69.78,82,48,2.93,AO,1603330676
Westport,41.14,-73.36,64.99,97,21,4.76,US,1603330586
Juiz de Fora,-21.76,-43.35,64.22,95,94,2.91,BR,1603330463
Lagos,6.58,3.75,78.8,94,20,3.36,NG,1603330578
Half Moon Bay,37.46,-122.43,77.0,77,1,4.7,US,1603330677
